ID.o,S Group,C Group,Price, Volume, TradeTime, EventTime, Offer, Bid, Buyer, Seller, buyerID, sellerID, Realized Tot , R per Tr ,UnReal Q,U per tr Q, Unreal Tot $ ,User Volu,User%ofTotalVolu,Total Volu,TradeCount,1st HourVolu,1stHourUserVolu,1stHour?,last HourVolu,lastHourUserVolu,lastHour?,1stHR_Usr/1SThR_Tot,lastH-Usr/LAST-HR-Tot,1stHR_Usr/TOT_vol,lastH-Usr/TOT_vol,VWAP,Price*V,(p2/p1)-1,ln(p2/p1),Net,User Buy,User Sell,User Vol Traded (Buy+Sell),Qualify,Gender,"Based on the INFORMATION provided, the best strategy is to:",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q45,Q28,Q47,Q29,Q30,SUM
S5C614T,S5,C614T,21,13,12:57:53,12475,20.6,20.4,Server,Server,0,0,510.899995,0,-25,0,-525,65,2.38%,2729,14,798,5,0,2078,15,1,0.63%,0.72%,0.001832173,2.65E-06,20.34840604,273,-0.01905,-1.92%,-14.100005,20,45,65,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,3,4,2,5,3,2,4,3,4,4,3,2,3,3,4,4,2,4,4,3,4,4,4,3,4,4,4,2,0,101
S5C414T,S5,C414T,21,40,12:57:19,12443,21,20.7,Server,Server,10,0,-12105.2001,-840,584,40,12264,1386,40.69%,3406,88,1240,155,0,2418,546,1,12.50%,22.58%,0.045507927,6.63E-05,20.35164419,840,0.00476,0.48%,158.799898,985,401,1386,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,3,3,4,4,4,1,3,3,4,4,4,5,5,5,5,4,4,4,5,3,3,4,4,3,4,3,4,4,0,112
S5C314T,S5,C314T,20.6,23,12:59:16,12558,21.1,20.6,Server,Server,0,10,2591.7999,473.8,-143,-23,-2945.8,2099,48.18%,4357,108,2940,700,0,2544,649,1,23.81%,25.51%,0.160661005,5.86E-05,20.28471428,473.8,-0.00485,-0.49%,-354.0001,978,1121,2099,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,2,4,2,4,4,3,4,4,5,4,4,4,4,1,1,1,1,4,3,2,4,4,4,4,4,4,4,3,0,98
S5C214T,S5,C214T,20.3,32,12:59:40,12584,21.1,20.6,Server,Server,0,10,12146.20008,649.6,-625,-32,-12687.5,2923,58.19%,5023,131,1934,414,0,3688,1119,1,21.41%,30.34%,0.082420864,6.04E-05,20.1758113,649.6,0,0.00%,-541.299925,1149,1774,2923,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,2,5,2,5,4,4,3,1,5,5,5,5,4,5,5,5,5,5,5,3,3,5,4,3,1,4,4,4,4,0,118
S5C1414,S5,C1414,21,17,12:58:58,12540,21,20.800001,Server,Server,10,0,242.500013,-357,-10,17,-210,830,27.28%,3043,45,1292,197,0,2388,496,1,15.25%,20.77%,0.064738745,6.83E-05,20.34962211,357,0.00476,0.48%,32.500013,410,420,830,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,2,4,3,2,2,1,5,5,5,4,5,5,5,5,5,5,4,3,4,2,5,2,4,1,2,5,5,5,1,112
S5C1214,S5,C1214,21,18,12:59:44,12590,21.1,21,Server,Server,0,10,-392.600154,378,0,-18,0,2122,50.34%,4215,116,788,55,0,3720,1032,1,6.98%,27.74%,0.013048636,6.58E-05,20.29001197,378,0,0.00%,-392.600154,1061,1061,2122,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,4,4,4,5,1,1,4,4,4,4,4,3,4,5,5,5,5,5,4,3,5,4,4,4,4,4,4,5,0,118
S5C114T,S5,C114T,20.9,35,12:59:45,12589,20.9,20.7,Server,Server,0,0,9718.60023,0,-474,0,-9906.6,746,23.10%,3229,38,1334,135,0,2692,330,1,10.12%,12.26%,0.041808609,3.80E-05,20.3175597,731.5,0,0.00%,-187.99977,136,610,746,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,5,1,5,1,5,1,1,2,2,2,5,2,3,2,2,2,2,2,5,5,2,2,5,5,2,2,2,2,2,1,81
S5C1114,S5,C1114,21,4,12:57:55,12478,20.9,20.800001,Server,Server,0,0,6760.200049,0,-335,0,-7035,845,25.48%,3316,56,1106,211,0,2888,400,1,19.08%,13.85%,0.063630881,4.18E-05,20.22098922,84,-0.00476,-0.48%,-274.799951,255,590,845,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,3,4,4,1,3,4,3,4,4,4,4,4,4,4,2,3,3,3,4,3,3,5,5,4,4,4,4,4,4,0,107
S5C1014,S5,C1014,20.3,9,12:55:31,12332,21,20.300001,Server,Server,0,10,6504.300057,182.7,-321,-9,-6516.3,505,17.08%,2956,53,838,65,0,2250,212,1,7.76%,9.42%,0.021989175,3.19E-05,20.25849124,182.7,-0.00493,-0.49%,-11.999943,92,413,505,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),4,3,4,2,4,1,1,4,2,2,3,4,4,4,4,1,1,1,1,4,3,3,3,3,2,3,4,4,4,5,0,88
S4C909T,S4,C909T,19.9,17,12:56:28,12391,21,20.800001,Server,Server,0,10,2193.8,338.3,-114,-17,-2268.6,952,30.51%,3120,46,1214,277,0,2714,477,1,22.82%,17.58%,0.088782051,5.63E-05,20.28137823,338.3,0,0.00%,-74.8,419,533,952,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,112
S4C809T,S4,C809T,20.5,19,12:57:30,12451,20.5,20.300001,Server,Server,0,0,799.900049,0,-40,0,-820,480,16.06%,2989,27,948,80,0,2460,212,1,8.44%,8.62%,0.026764804,2.88E-05,20.35098698,389.5,0.02927,2.88%,-20.099951,220,260,480,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,4,4,5,4,5,1,4,4,5,5,4,5,5,5,5,5,4,4,5,3,4,4,5,4,4,4,4,5,0,126
S4C709T,S4,C709T,20.1,90,12:55:18,12321,21,20.300001,Server,Server,10,10,3474.20016,0,-170,0,-3417,1088,34.05%,3195,52,1126,249,0,2952,579,1,22.11%,19.61%,0.077934272,6.14E-05,20.27042259,1809,0.00995,0.99%,57.20016,459,629,1088,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,4,4,4,2,5,2,1,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,4,4,4,2,0,106
S4C609T,S4,C609T,21,1,12:50:28,12029,20.7,20.4,Server,Server,0,0,628.8,0,-30,0,-630,470,16.46%,2855,22,1314,110,0,1724,51,1,8.37%,2.96%,0.038528897,1.04E-05,20.30521896,21,0.00476,0.48%,-1.2,220,250,470,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,4,4,2,5,2,1,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,5,2,1,119
S4C509T,S4,C509T,20.8,5,12:58:52,12534,20.800001,20.6,Server,Server,0,0,10444.40006,0,-513,0,-10670.4,839,26.63%,3151,52,908,100,0,2838,428,1,11.01%,15.08%,0.031735957,4.79E-05,20.27096163,104,0,0.00%,-225.999938,163,676,839,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,3,2,2,3,4,3,4,4,4,2,2,3,2,3,3,2,4,3,3,4,2,2,4,3,3,4,3,3,0,89
S4C409T,S4,C409T,21,20,12:51:45,12110,20.9,20.2,Server,Server,0,0,4751.500094,0,-229,0,-4809,491,16.67%,2945,30,1106,136,0,2272,220,1,12.30%,9.68%,0.046179966,3.29E-05,20.29694403,420,0,0.00%,-57.499906,131,360,491,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,3,4,4,2,3,4,3,4,3,4,4,4,4,4,4,5,3,4,4,3,4,4,3,4,4,5,4,4,5,0,114
S4C309T,S4,C309T,20,5,12:57:50,12474,21,20.4,Server,Server,0,10,5790.6,100,-285,-5,-5700,1225,37.01%,3310,49,928,70,0,3006,875,1,7.54%,29.11%,0.021148036,8.79E-05,20.32731119,100,0.005,0.50%,90.6,470,755,1225,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,5,2,4,5,2,2,2,5,4,5,4,5,5,5,5,5,5,3,3,5,4,5,5,5,5,5,5,0,124
S4C209T,S4,C209T,20.5,19,12:57:34,12457,20.5,20.300001,Server,Server,0,0,1816,0,-90,0,-1845,150,5.33%,2815,12,788,39,0,2250,50,1,4.95%,2.22%,0.013854352,7.89E-06,20.30902313,389.5,0.02439,2.41%,-29,30,120,150,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,4,4,1,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,4,0,112
S4C109T,S4,C109T,20.9,5,12:50:43,12045,20.6,20.4,Server,Server,0,10,-1401.59998,104.5,72,-5,1504.8,430,16.27%,2643,26,890,64,0,1536,192,1,7.19%,12.50%,0.024214907,4.73E-05,20.32936061,104.5,0.00478,0.48%,103.20002,251,179,430,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,4,3,4,2,5,2,1,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,0,123
S3C908T,S3,C908T,20.7,19,12:57:27,12452,20.7,20.5,Server,Server,0,0,41.8,0,-2,0,-41.4,22,0.80%,2742,4,808,10,0,2164,2,1,1.24%,0.09%,0.003646973,3.37E-07,20.36925605,393.3,0.01932,1.91%,0.4,10,12,22,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,3,4,4,2,4,4,3,2,4,4,4,3,4,4,3,3,3,3,4,3,3,4,3,4,3,4,4,3,4,0,103
S3C8a08,S3,C8a08,21.4,38,12:59:42,12585,21.4,20.800001,Server,Server,10,0,-683.6,-813.2,0,38,0,2160,47.07%,4589,101,1958,450,0,3164,720,1,22.98%,22.76%,0.09806058,4.96E-05,20.26066682,813.2,0,0.00%,-683.6,1080,1080,2160,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,4,1,4,4,2,4,2,5,5,5,5,5,5,5,5,5,5,3,3,5,4,4,5,5,5,5,4,0,123
S3C808T,S3,C808T,21.2,22,12:57:26,12450,20.7,20.5,Server,Server,0,0,-315.60013,0,0,0,0,1400,37.28%,3755,69,1688,450,0,2650,360,1,26.66%,13.58%,0.119840213,3.62E-05,20.2931825,466.4,-0.00472,-0.47%,-315.60013,700,700,1400,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,2,4,4,2,2,4,2,4,4,4,4,4,4,4,2,2,1,1,4,4,2,4,4,2,3,3,3,3,4,0,93
S3C708T,S3,C708T,21.2,10,12:53:46,12228,20.4,20.1,Server,Server,10,0,647.200049,-212,-49,10,-1038.8,1239,35.15%,3525,55,888,55,0,3076,594,1,6.19%,19.31%,0.015602837,5.48E-05,20.27526251,212,-0.00943,-0.95%,-391.599951,595,644,1239,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,5,5,2,4,2,3,1,2,4,4,4,4,4,3,3,1,1,4,5,1,4,4,3,4,4,2,2,2,0,93
S3C508T,S3,C508T,20.6,18,12:54:49,12291,20.6,20.4,Server,Server,0,0,-17.80003,0,0,0,0,318,11.17%,2848,35,908,60,0,2010,138,1,6.61%,6.87%,0.021067416,2.41E-05,20.32981042,370.8,0.01942,1.92%,-17.80003,159,159,318,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,5,1,5,5,2,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,121
S3C308T,S3,C308T,21.1,1,12:57:34,12457,21.1,20.9,Server,Server,10,0,1706.800001,-21.1,-92,1,-1941.2,1250,38.40%,3255,51,788,97,0,2142,502,1,12.31%,23.44%,0.029800307,7.20E-05,20.24915521,21.1,0,0.00%,-234.399999,579,671,1250,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,4,2,4,1,5,4,1,4,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,0,103
S3C208T,S3,C208T,20.1,35,12:59:35,12578,20.1,20,Server,Server,0,10,21912.9,703.5,-1088,-35,-21868.8,2082,66.69%,3122,77,788,217,0,2616,843,1,27.54%,32.22%,0.069506726,0.000103218,20.09807816,703.5,0.00498,0.50%,44.1,497,1585,2082,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,2,5,2,5,5,3,4,4,4,4,4,5,5,4,4,4,4,5,3,3,5,4,3,4,3,3,3,1,1,112
S3C1908,S3,C1908,21,20,12:52:51,12174,20.9,20.2,Server,Server,0,0,1492.40001,0,-73,0,-1533,373,12.69%,2939,23,888,60,0,2338,203,1,6.76%,8.68%,0.020415107,2.95E-05,20.34106841,420,0,0.00%,-40.59999,150,223,373,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,2,2,4,4,2,2,3,4,4,4,3,2,2,3,4,4,2,2,4,3,3,4,3,4,4,4,4,3,4,0,96
S3C1708,S3,C1708,20.5,21,12:59:27,12568,21.1,20.5,Server,Server,0,10,819.699978,430.5,-40,-21,-820,440,14.86%,2960,19,788,0,0,2420,240,1,0.00%,9.92%,0,3.35E-05,20.37118246,430.5,0.00976,0.97%,-0.300022,200,240,440,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,5,3,1,1,5,4,3,4,4,5,3,5,4,5,5,5,4,4,5,3,3,5,4,5,5,5,5,5,4,0,121
S3C1608,S3,C1608,21,12,12:56:22,12384,21,20.6,Server,Server,10,0,4936.4,-252,-244,12,-5124,1624,42.97%,3779,68,1124,198,0,3328,731,1,17.62%,21.97%,0.052394813,5.81E-05,20.28430807,252,0,0.00%,-187.6,690,934,1624,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,3,4,4,2,5,4,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,108
S3C1508,S3,C1508,21,19,12:54:27,12272,21.300001,21.1,Server,Server,0,0,5425.5,0,-347,0,-7287,5681,72.83%,7800,321,1688,450,0,8474,3200,1,26.66%,37.76%,0.057692308,4.84E-05,20.35930771,399,0.00476,0.48%,-1861.5,2667,3014,5681,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,3,3,3,3,2,4,4,4,4,4,2,4,4,4,3,3,4,4,2,5,4,5,4,4,4,4,5,0,108
S3C1408,S3,C1408,20.9,39,12:51:29,12092,20.9,20.2,Server,Server,0,0,4,0,-1,0,-20.9,227,8.25%,2753,17,818,22,0,2226,94,1,2.69%,4.22%,0.007991282,1.53E-05,20.27584455,815.1,0,0.00%,-16.9,113,114,227,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,2,4,4,2,4,4,2,4,2,4,5,4,4,5,4,4,4,4,5,4,3,4,4,4,3,4,3,4,4,0,111
S3C1108,S3,C1108,21,18,12:58:17,12501,20.9,20.6,Server,Server,0,0,5499.500008,0,-271,0,-5691,673,20.93%,3215,45,968,90,0,2534,295,1,9.30%,11.64%,0.027993779,3.62E-05,20.3597823,378,0,0.00%,-191.499992,201,472,673,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,4,1,3,4,1,4,3,5,4,3,3,4,3,3,4,3,4,4,2,3,3,5,4,4,4,4,2,0,100
S2C908T,S2,C908T,21,11,12:52:02,12123,20.9,20.2,Server,Server,10,0,2216.200207,-231,-109,11,-2289,1011,32.15%,3145,44,1092,285,0,2386,221,1,26.10%,9.26%,0.090620032,2.95E-05,20.31920517,231,0,0.00%,-72.799793,451,560,1011,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,4,4,4,2,5,2,2,4,2,4,4,5,4,4,5,4,5,5,4,3,3,5,4,5,5,4,4,4,4,0,117
S2C808T,S2,C808T,21,7,12:57:29,12452,20.6,20.5,Server,Server,0,0,-129.600038,0,0,0,0,660,20.31%,3250,34,1654,250,0,2118,180,1,15.11%,8.50%,0.076923077,2.61E-05,20.28858465,147,0,0.00%,-129.600038,330,330,660,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,2,4,4,4,3,3,4,4,4,4,5,4,2,5,4,4,4,2,5,4,4,4,2,4,5,5,5,4,2,0,112
S2C708T,S2,C708T,20.7,17,12:59:21,12566,20.7,20.300001,Server,Server,0,0,12258.80014,0,-600,0,-12420,710,23.60%,3008,30,888,100,0,2616,456,1,11.26%,17.43%,0.033244681,5.79E-05,20.27267295,351.9,0,0.00%,-161.199856,55,655,710,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,2,4,4,3,3,3,3,2,2,3,3,3,4,3,2,3,2,2,3,4,3,4,4,4,3,3,3,3,4,0,92
S2C6b08,S2,C6b08,20.7,1,12:58:40,12522,21,20.7,Server,Server,0,10,7467.8,20.7,-394,-1,-8155.8,3074,61.15%,5027,131,2040,360,0,1606,72,1,17.65%,4.48%,0.071613288,8.92E-06,20.07718322,20.7,0.01449,1.44%,-688,1340,1734,3074,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,1,4,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,121
S2C608T,S2,C608T,21.1,59,12:53:23,12208,21,20.2,Server,Server,10,0,13204.80002,-1244.9,-668,59,-14094.8,1686,45.32%,3720,82,1286,249,0,2242,620,1,19.36%,27.65%,0.066935484,7.43E-05,20.21879033,1244.9,-0.00474,-0.48%,-889.99998,509,1177,1686,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),4,2,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,2,2,2,3,3,3,0,94
S2C508T,S2,C508T,21,11,12:52:54,12176,20.9,20.2,Server,Server,0,0,2619.50005,0,-130,0,-2730,932,29.29%,3182,48,988,196,0,2544,220,1,19.84%,8.65%,0.06159648,2.72E-05,20.25675677,231,0,0.00%,-110.49995,401,531,932,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,4,3,2,4,4,4,2,2,4,4,4,4,4,4,5,5,4,5,2,4,2,4,4,4,4,5,4,4,3,0,110
S2C308T,S2,C308T,21,16,12:52:47,12171,20.9,20.2,Server,Server,0,0,10221.90017,0,-501,0,-10521,1473,40.06%,3677,82,1816,381,0,2712,683,1,20.98%,25.18%,0.103617079,6.85E-05,20.27326631,336,0,0.00%,-299.099833,486,987,1473,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,2,4,4,2,2,2,3,4,4,4,4,4,2,4,2,2,2,2,4,2,2,4,4,2,4,4,4,4,2,0,91
S2C208T,S2,C208T,20.5,22,12:50:59,12062,20.5,20.2,Server,Server,0,0,2464.60001,0,-119,0,-2439.5,139,5.41%,2571,11,788,10,0,2042,110,1,1.27%,5.39%,0.003889537,2.10E-05,20.2882925,451,0.01951,1.93%,25.10001,10,129,139,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,2,4,2,4,4,3,3,4,4,4,4,4,3,4,4,1,108
S2C1208,S2,C1208,21.1,10,12:59:51,12592,21.1,20.5,Server,Server,10,0,5747.500022,-211,-286,10,-6034.6,772,24.48%,3154,35,984,222,0,1888,112,1,22.56%,5.93%,0.07038681,1.88E-05,20.29115413,211,0,0.00%,-287.099978,243,529,772,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,3,4,5,1,4,5,3,4,2,5,4,4,2,4,5,3,3,3,4,3,3,4,4,3,4,4,3,4,3,0,106
S2C108T,S2,C108T,21,19,12:59:40,12584,21,20.9,Server,Server,10,0,-337.100054,-399,0,19,0,1188,33.54%,3542,48,1524,198,0,2374,495,1,12.99%,20.85%,0.055900621,5.89E-05,20.25635239,399,0.00476,0.48%,-337.100054,594,594,1188,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,3,5,5,3,4,2,3,3,3,4,4,4,4,1,1,1,1,4,3,3,3,4,1,4,4,4,4,2,0,93
S2C1008,S2,C1008,20.9,18,12:51:08,12071,20.9,20.4,Server,Server,0,0,-528.8,0,30,0,627,426,14.79%,2881,17,788,30,0,2266,198,1,3.81%,8.74%,0.010413051,3.03E-05,20.34050677,376.2,0,0.00%,98.2,228,198,426,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,4,4,4,2,3,3,3,2,3,4,4,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5,4,4,4,0,113
S1C508T,S1,C508T,20.9,72,12:53:11,12192,20.9,20.1,Server,Server,0,10,9577.10023,1504.8,-469,-72,-9802.1,509,17.35%,2933,24,788,40,0,2362,239,1,5.08%,10.12%,0.013637913,3.45E-05,20.25472222,1504.8,0.00478,0.48%,-224.99977,20,489,509,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),2,2,5,4,2,4,5,3,3,4,5,3,4,4,4,3,3,3,3,5,2,4,3,4,5,4,4,5,5,5,0,112
S1C408T,S1,C408T,20.9,28,12:59:54,12598,20.9,20.7,Server,Server,0,0,7504.50004,0,-370,0,-7733,590,19.12%,3086,26,926,90,0,2708,120,1,9.72%,4.43%,0.029163966,1.44E-05,20.23895013,585.2,0,0.00%,-228.49996,110,480,590,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),5,1,4,4,1,2,3,3,4,5,5,5,5,5,5,3,5,5,5,5,2,2,5,5,5,2,5,2,5,4,0,117
S1C308T,S1,C308T,21,11,12:54:39,12280,20.9,20.300001,Server,Server,0,0,7066.300099,0,-347,0,-7287,575,19.03%,3022,25,818,15,0,2462,263,1,1.83%,10.68%,0.0049636,3.53E-05,20.31317014,231,0,0.00%,-220.699901,114,461,575,T,F,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),3,2,5,4,3,5,3,2,5,3,3,5,5,4,4,5,3,5,3,3,5,2,3,5,5,5,4,3,3,4,1,115
S1C208T,S1,C208T,20.4,25,12:43:42,11628,20.4,20.1,Server,Server,0,0,17378.10014,0,-860,0,-17544,960,32.13%,2988,49,858,56,0,2414,532,1,6.53%,22.04%,0.018741633,7.38E-05,20.13939097,510,0.0049,0.49%,-165.89986,50,910,960,T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S1C108T,S1,C108T,21,18,12:57:18,12440,20.9,20.800001,Server,Server,0,0,282.90003,0,-15,0,-315,585,19.27%,3036,34,908,60,0,2132,150,1,6.61%,7.04%,0.019762846,2.32E-05,20.32467066,378,0,0.00%,-32.09997,285,300,585,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,4,3,3,3,4,2,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,3,4,3,4,1,108
S10C915,S10,C915,20.9,28,12:53:06,12190,20.9,20.4,Server,Server,0,0,2037.8,0,-100,0,-2090,272,9.82%,2769,20,1092,152,0,1934,110,1,13.92%,5.69%,0.054893463,2.05E-05,20.3242326,585.2,0.00478,0.48%,-52.2,86,186,272,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),2,3,4,3,4,3,3,3,3,4,4,4,2,4,3,3,3,3,3,4,2,2,4,4,4,3,3,4,4,3,0,98
S10C815,S10,C815,20.9,15,12:53:33,12217,20.9,20.2,Server,Server,0,0,3328.700081,0,-163,0,-3406.7,325,11.37%,2859,22,888,50,0,2318,63,1,5.63%,2.72%,0.017488632,9.51E-06,20.31175242,313.5,0,0.00%,-77.999919,81,244,325,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),4,2,3,4,4,2,2,5,3,1,3,5,5,3,4,2,5,2,3,5,3,2,5,5,5,5,5,2,3,3,0,105
S10C715,S10,C715,21,14,12:51:50,12115,20.9,20.800001,Server,Server,0,0,-18.2,0,0,0,0,140,5.24%,2673,14,788,0,0,1794,60,1,0.00%,3.34%,0,1.25E-05,20.34167622,294,0.00476,0.48%,-18.2,70,70,140,T,M,SELL FIRST AND THEN BUY LATER to make profit (when Stock price is going to DECREASE towards the end of the day),1,4,4,3,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,5,4,4,4,4,1,109
S10C615,S10,C615,20.6,19,12:57:23,12446,20.6,20.4,Server,Server,0,0,1082.399955,0,-54,0,-1112.4,530,16.95%,3127,19,1356,114,0,2380,181,1,8.41%,7.61%,0.036456668,2.43E-05,20.28596102,391.4,0.01942,1.92%,-30.000045,238,292,530,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,4,4,1,3,5,1,3,3,4,4,2,4,4,4,4,3,2,4,3,3,5,4,4,3,5,4,4,4,0,103
S10C515,S10,C515,21.1,41,12:59:46,12591,21,20.4,Server,Server,10,0,-184.6,-865.1,0,41,0,738,22.43%,3290,39,1066,139,0,2432,264,1,13.04%,10.86%,0.04224924,3.30E-05,20.33765959,865.1,-0.00474,-0.48%,-184.6,369,369,738,T,F,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),3,2,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,0,111
S10C415,S10,C415,20.4,31,12:59:43,12586,20.300001,20.2,Server,Server,0,10,21479.30015,632.4,-1061,-31,-21644.4,1295,39.41%,3286,80,866,100,0,2782,711,1,11.55%,25.56%,0.030432136,7.78E-05,20.16777243,632.4,-0.0049,-0.49%,-165.099854,117,1178,1295,T,M,BUY FIRST AND THEN SELL LATER to make profit (when Stock price is going to INCREASE towards the end of the day),1,4,2,4,1,4,5,1,2,2,4,5,4,5,4,5,5,5,5,4,2,2,5,5,5,2,5,4,4,1,0,107
